sale_id,customer_id,product_id,price,quantity,sale_date,total_value,age,churn,tenure_months,last_purchase_date,feedback_text,sentiment,tokens,neg,neu,pos,compound,days_since_last_purchase,sale_year,sale_month,freq_3m,freq_6m,freq_12m,avg_order_value,gender_Male,region_North,region_South,region_West,segment_Corporate,segment_Small Business,category_Furniture,category_Office Supplies,product_name_Headphones,product_name_Laptop,product_name_Monitor,product_name_Notebook,product_name_Office Chair,product_name_Pen Pack,product_name_Printer,product_name_Projector,product_name_Smartphone,sentiment_new_Neutral,sentiment_new_Positive
S000001,CUST01553,P004,12000,2,2020-01-07,24000,40,1,37,2023-04-04,"Terrible experience, will not buy again.",Negative,"['terrible', 'experience', 'buy']",0.383,0.617,0.0,-0.4767,869,2020,1,0,0,0,34500.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S000002,CUST00161,P010,45000,2,2023-11-10,90000,50,0,44,2023-03-02,Excellent customer service.,Positive,"['excellent', 'customer', 'service']",0.0,0.351,0.649,0.5719,902,2023,11,3,4,4,66675.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
S000003,CUST00627,P010,45000,4,2022-07-04,180000,33,0,25,2023-11-04,Product quality could be better.,Neutral,"['product', 'quality', 'could', 'better']",0.0,0.58,0.42,0.4404,655,2022,7,0,0,1,50071.42857142857,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
S000004,CUST01291,P009,12000,1,2023-10-18,12000,41,0,56,2023-08-18,"Delivery was late, not happy.",Positive,"['delivery', 'late', 'happy']",0.428,0.572,0.0,-0.4585,733,2023,10,1,1,2,86010.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S000005,CUST01456,P004,12000,4,2023-09-13,48000,60,0,52,2023-05-14,"Delivery was late, not happy.",Positive,"['delivery', 'late', 'happy']",0.428,0.572,0.0,-0.4585,829,2023,9,0,1,1,38033.333333333336,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S000006,CUST00634,P007,50,5,2022-10-22,250,51,0,43,2023-11-14,Product quality could be better.,Neutral,"['product', 'quality', 'could', 'better']",0.0,0.58,0.42,0.4404,645,2022,10,0,1,1,58637.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
S000007,CUST01463,P005,15000,1,2022-05-07,15000,57,0,59,2023-01-18,Excellent customer service.,Positive,"['excellent', 'customer', 'service']",0.0,0.351,0.649,0.5719,945,2022,5,1,1,1,21033.333333333332,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
S000008,CUST00235,P010,45000,3,2020-04-19,135000,35,1,35,2023-06-28,"Terrible experience, will not buy again.",Negative,"['terrible', 'experience', 'buy']",0.383,0.617,0.0,-0.4767,784,2020,4,1,1,1,83480.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
S000009,CUST01822,P010,45000,5,2023-01-14,225000,24,1,57,2023-05-26,Excellent customer service.,Positive,"['excellent', 'customer', 'service']",0.0,0.351,0.649,0.5719,817,2023,1,1,1,3,70571.42857142857,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
S000010,CUST01772,P002,25000,2,2022-05-16,50000,53,0,11,2023-03-05,"Delivery was late, not happy.",Positive,"['delivery', 'late', 'happy']",0.428,0.572,0.0,-0.4585,899,2022,5,0,0,0,43000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
S000011,CUST00366,P010,45000,5,2020-06-26,225000,42,0,10,2023-04-19,Product quality could be better.,Neutral,"['product', 'quality', 'could', 'better']",0.0,0.58,0.42,0.4404,854,2020,6,0,0,1,61250.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
S000012,CUST01896,P004,12000,4,2021-08-21,48000,61,0,55,2023-11-07,"Worth the price, happy with the purchase.",Positive,"['worth', 'price', 'happy', 'purchase']",0.0,0.472,0.528,0.6808,652,2021,8,1,1,1,31500.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
S000013,CUST00283,P002,25000,5,2022-03-12,125000,55,1,1,2023-12-21,"Great product, very satisfied.",Positive,"['great', 'product', 'satisfied']",0.0,0.218,0.782,0.8016,608,2022,3,0,1,1,21975.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
S000014,CUST01895,P006,100,1,2023-11-05,100,54,1,31,2023-04-28,"Worth the price, happy with the purchase.",Positive,"['worth', 'price', 'happy', 'purchase']",0.0,0.472,0.528,0.6808,845,2023,11,1,2,2,75533.33333333333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
S000015,CUST00549,P004,12000,1,2020-02-28,12000,28,0,20,2023-10-15,Excellent customer service.,Positive,"['excellent', 'customer', 'service']",0.0,0.351,0.649,0.5719,675,2020,2,0,0,0,51500.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
S000016,CUST01921,P010,45000,5,2023-11-02,225000,51,0,18,2023-08-26,"Great product, very satisfied.",Positive,"['great', 'product', 'satisfied']",0.0,0.218,0.782,0.8016,725,2023,11,1,1,1,116500.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
S000017,CUST01430,P005,15000,4,2022-10-31,60000,45,0,44,2023-08-06,"Met expectations, nothing special.",Neutral,"['met', 'expectations', 'nothing', 'special']",0.429,0.571,0.0,-0.3089,745,2022,10,0,0,0,84000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
